pow_delta,pow_theta,pow_alpha,pow_sigma,pow_beta,stage
-122.4903954107081,-124.64448420446128,-128.11172240908937,-131.7118978819827,-133.40642742283154,0
-120.40321028691005,-123.97280192687677,-126.58786475470329,-129.2171199886776,-131.3209684993705,0
-121.54338231949046,-125.16938810304644,-128.2545252124239,-131.49756403090103,-135.23328626375047,0
-122.9285201111817,-125.84096163942273,-128.72549004323986,-131.35136428325862,-134.7141028166296,1
-116.367799917355,-123.64325374619831,-126.4505485692331,-129.71754607650345,-131.13139065298816,0
-123.66067966696117,-125.56427715550834,-129.50972781832905,-131.76897619286922,-134.09594358803932,1
-124.81708843048715,-125.63403989095367,-129.71233042157147,-132.30711929666822,-135.1570748072308,0
-124.11783576390742,-124.71561847097263,-128.72912867606004,-132.3840394828664,-135.56384940707306,0
-118.85740929379129,-123.15229680682815,-127.15076509201796,-129.83583024004975,-131.2009377146007,0
-124.16981648220862,-124.61674029745475,-128.5199649198148,-132.11884980808532,-134.70126704434068,1
-123.50655157420034,-123.08335928105924,-128.64535682988335,-132.22472270945275,-134.5717669632433,1
-121.01020016769641,-123.27978499379111,-129.36804940000502,-132.33601114299023,-134.63174342935045,2
-120.51098129503148,-122.24794505160303,-128.59311795426066,-130.90274550710555,-135.73506763910257,2
-122.52345076626581,-124.469542352004,-129.73445401272238,-131.55758183066058,-137.15118332803954,2
-124.04400610806826,-125.44467779405177,-130.5780136457864,-131.88361614098554,-137.68459626795592,2
-122.97230084806017,-124.4748811757603,-130.4193418572788,-131.46571780282258,-137.59119789075126,2
-119.14668089409864,-122.39656238635234,-128.84847178860872,-130.96881802918784,-136.1198227366163,2
-121.68241447939683,-124.1735347518005,-128.956716032335,-130.9798293765448,-137.53892614301827,2
-123.14543703621446,-125.07688032353694,-131.00418785011394,-131.509143476864,-137.96865348050753,2
-121.01304384660678,-123.7488271185576,-129.76069764683885,-131.3181212039997,-138.12783436621456,2
-119.57883919164561,-122.97754846824239,-128.44929788368995,-129.53146392110742,-137.5851443596124,2
-121.8647183481037,-124.62038831331223,-130.4475237029853,-132.18637356264455,-137.52738771678452,2
-120.12522858997305,-122.99634983582413,-128.71102889197945,-130.88916818509762,-135.53159860933292,2
-123.47181494180515,-125.05751289257445,-130.54530013206693,-132.29436623569563,-137.87660889216662,2
-121.19597554859115,-124.49636419484162,-129.31111065908408,-130.5311325704239,-137.30083532531683,2
-119.6245206124501,-122.7345427357733,-128.78046711908343,-131.09774967314374,-136.41043069216295,2
-119.21867372013996,-123.56887440416598,-129.68260745512396,-131.94092895503354,-136.72957338763166,2
-121.72336243987405,-123.82800820919411,-128.83779819230824,-130.0447116460836,-136.71384930912026,2
-119.81892486076877,-122.47857687067363,-128.17768720204276,-130.9954586507429,-137.72147772855942,2
-122.64714640251628,-125.0342666437366,-130.32832782998074,-132.15219553560067,-137.49790291111523,2
-119.64606368738127,-122.09772790570274,-128.27599640839924,-131.88792690334387,-136.69852592826896,2
-122.61158218535252,-125.28225023654704,-130.8908055077853,-131.9131945399847,-137.86366361256546,2
-121.4520799601904,-124.33855701282384,-129.68706860247588,-131.5710221862151,-138.20953318372753,3
-120.47185985618036,-122.17702364440636,-125.9342111022995,-130.58385783407473,-133.05551543701523,2
-121.50387285503676,-123.8053897852971,-129.34450363806215,-132.5391694733064,-136.61719452793034,2
-118.97594225178354,-122.71838115855941,-128.46036887125925,-130.80746056688625,-137.42803170776105,3
-119.99918370827741,-124.37377845700603,-129.64521214287234,-132.3266955275367,-137.4716953542593,3
-122.045656562477,-124.78971661151806,-130.0422509419787,-132.1627020109366,-137.33313984506685,2
-121.00788084229728,-124.41956222403907,-129.74033117774914,-131.81685244442178,-138.3082317518952,2
-120.61388643062843,-123.89755656387712,-129.5152035601225,-131.3057758274124,-136.8289352567732,2
-119.42041961770937,-122.7883262709013,-128.24590696826206,-131.7136450050624,-136.4517627279783,2
-122.83620530603217,-125.68627754226304,-131.33444768145753,-132.63595036069796,-138.5036159687474,2
-120.41167528292206,-122.5354332930039,-129.28372578327333,-131.6649713243727,-137.18261933064232,3
-122.32011273515941,-125.33514277201037,-131.1710511894422,-134.26987302296814,-136.92074754089995,2
-121.10432813773883,-124.63656783675818,-130.02663486467054,-132.5831705536896,-136.24974901377414,2
-121.52554340812563,-125.03375451998221,-129.45098839919774,-130.28832905959302,-135.40974176901008,2
-123.00219388852051,-125.3271094997654,-130.8819364525971,-133.14002771361945,-137.28209885051368,2
-120.45215910152668,-124.24229181653344,-129.48902428501793,-132.07254003442392,-137.14811528228097,2
-122.45646839801651,-124.96062246179875,-130.57826804960723,-133.4064235110602,-137.03402444452925,2
-120.96717684195035,-124.75648513104652,-130.1009841561433,-132.28952110428324,-137.04481897298882,2
-121.50254480602698,-125.15298915872562,-130.79244820043056,-132.21808584471432,-138.8056791513668,2
-119.88433477315999,-121.9214765878994,-127.69226621766819,-131.84055247733033,-136.92863302726036,2
-121.50025265791353,-124.6859265678377,-130.07003401277117,-131.6098958445968,-136.78344741679894,2
-122.38551117885369,-125.41881149805138,-130.43862691361343,-134.45755103370402,-138.81849828314645,2
-121.90517739742111,-124.13445444294275,-129.8907768998276,-131.4719770091764,-136.5071546896922,2
-120.33922322462996,-123.35056087059571,-128.63308175344926,-132.05671341526406,-135.5307513564092,2
-120.84297754131907,-124.05156518578798,-127.51665684901621,-130.34687328882097,-132.3664151368493,1
-126.31032911091074,-126.5826829833033,-131.1003438905628,-133.34504279549253,-135.52055272525803,2
-121.36638513554314,-124.69216840005893,-130.09445240867242,-132.8582579538803,-135.72920950279396,2
-124.11257771559222,-125.00953673500167,-130.5047551415174,-132.5937718159767,-135.17973846636116,2
-120.5496567799711,-124.5514354971086,-129.59047566113657,-132.71475070717406,-136.33530230205136,2
-123.46294663839909,-125.16974219990286,-132.04758736684425,-132.64895470828404,-138.3913544700034,2
-120.88192649775722,-126.01553629810616,-130.89423905024,-132.40678421369805,-137.51356290550464,2
-123.29763144140406,-125.65371172596909,-132.28845941595583,-133.47602183657804,-138.62313369090117,3
-122.82354596486617,-126.33417165455653,-131.55419002822595,-134.09984611004595,-138.60276667768417,2
-122.69518171806438,-125.07875376944844,-130.40379347536262,-132.7956426730925,-138.07602539342716,2
-122.03576729363245,-125.36027460617544,-130.16536279935934,-133.7858246536992,-138.43690941082713,3
-122.84600283437035,-125.09837530655271,-131.0658552988447,-132.69139406853998,-138.93301808189815,3
-123.31396238328333,-125.05247586165288,-133.41054624793753,-134.25423426523417,-140.24698973622728,3
-121.60397867775767,-125.51442625853281,-131.07316294620804,-133.08602751585238,-140.16814964936373,2
-119.40681107799256,-123.85667419207691,-128.80150343237042,-131.4115336270426,-135.87913004140074,2
-118.4131019889638,-123.29702702677008,-131.15668255756125,-133.49510456351734,-140.22891998854985,3
-119.5344887701205,-123.16941228678519,-130.99768994579145,-131.9545489866729,-140.58932110150488,3
-119.42489852871857,-124.86280937495204,-131.52750931570128,-133.5500310183437,-140.95254935066416,3
-120.85382410948162,-125.4071693278109,-131.28367126976892,-132.81444913034906,-141.32189396139074,3
-120.22546625171871,-124.65066466137282,-131.8709759636571,-133.66860574273397,-140.9275787186271,3
-120.75568776673428,-125.19019037554885,-131.26961739684324,-133.88505605135427,-141.11965311351292,3
-120.361830469998,-125.00569996587826,-131.37300225370186,-134.44925720792523,-141.042979072002,3
-120.61147985103267,-125.05902820947516,-131.7700607855442,-134.09087693796565,-141.9978230169434,3
-122.1174163175167,-126.04055536434566,-132.41853426804917,-136.09483046819872,-142.09433505403132,3
-120.84509028589389,-124.99977891470276,-131.57839313698696,-134.08653547390406,-142.45060337110783,3
-119.04908538056607,-122.86055831232854,-129.03229740115782,-133.35066064941836,-138.17468915448106,3
-119.7869889327522,-124.68414945911073,-132.66523896406764,-136.21142465935355,-141.60446831485763,3
-119.63951477056384,-124.73362994225218,-131.7411822004018,-133.42998261191906,-142.26423086451356,3
-120.9149948135626,-126.07602756703714,-132.35709700400423,-136.02200441455932,-142.3308506324756,3
-122.44770439775343,-125.97846885292493,-132.3511094007318,-134.53511653617406,-142.42814330308846,3
-121.17471749676243,-126.11658329064704,-133.06995786934598,-135.0640329912258,-142.46860896008405,3
-120.58681520885763,-125.53848438150466,-132.12123900485915,-133.2250579459946,-142.229756408845,3
-119.64676368390113,-124.5535708036471,-132.03169348893653,-134.98948651386718,-142.03964155133158,3
-120.07455174685815,-125.42428818025168,-133.58573795229825,-135.8169058961766,-142.55389177538368,3
-120.51876650931926,-126.1734426876007,-133.1710493187827,-135.7433170256775,-142.99670381064388,3
-121.28365012901827,-125.4048030212987,-132.24148297232634,-134.87037131311698,-143.0604338409031,3
-120.0720493626983,-126.0791782520281,-133.5405606850002,-136.5513846072381,-143.16660049685407,3
-121.09469589641938,-126.86454542898197,-132.03243674313876,-135.73925745141298,-142.92816969411896,3
-119.70421218232498,-125.49512590341689,-132.7317610401767,-136.03151431091928,-142.89026472700894,3
-119.30807018351813,-125.25194278609165,-132.44304996419618,-134.51423599251484,-142.64940441793885,3
-121.6857768782752,-126.3693476245284,-132.35041769818403,-135.76432358043272,-142.64829541666202,3
-121.14447301428612,-126.4192699551442,-132.61835500690145,-136.11327047257325,-143.11528850261672,3
-121.18454880210766,-126.13466121387714,-132.85806710715647,-136.94675158833786,-142.96931554501765,3
-120.95044208701756,-125.6845824922983,-133.3517266796575,-135.56162545481928,-142.9647530553314,3
-119.3747809025693,-125.32549625341636,-131.7824994625976,-136.43069464258562,-143.29845542485407,3
-120.96337376802312,-126.01948051753413,-132.61458550267992,-136.65790208181676,-143.4356152866208,3
-121.19176902758429,-126.13830784490057,-132.86857247418263,-135.9648895411888,-143.27285403225252,3
-120.50657624562952,-125.62354011915616,-132.1938849387683,-135.90071230774058,-143.53498198775,3
-122.27571129762222,-126.35136999451468,-134.1742749565631,-137.3862606531159,-143.55751709585775,3
-120.18146749793408,-126.38490487538434,-134.55520510643166,-136.47796910926354,-143.53457052209671,3
-119.31260427196477,-125.70565830522985,-132.76980111860973,-135.45550548250324,-143.3514411535556,3
-121.3151191303075,-126.90449345306013,-133.74347993812242,-137.16673093686242,-143.86856677132096,3
-118.60394256156242,-126.92265988047673,-133.01624680167703,-136.37201353772235,-143.2001703460739,3
-124.84409323990025,-127.76284125601701,-133.50302007615963,-137.52830879037484,-142.66906768825018,3
-124.26838970841258,-125.76664382140929,-130.44703841978586,-135.0792201992157,-139.8246800837504,2
-122.1739815085239,-126.78835458003648,-132.26722811240845,-135.67262164203564,-137.40387634247222,4
-123.01748018716245,-127.74364556371995,-133.62997910028665,-137.55162005453997,-142.234954850678,4
-120.24252062057502,-126.59731781762868,-133.85197430920923,-137.78889344380846,-141.88085932358055,4
-124.50560796956016,-129.8479434629197,-135.16822754993777,-138.62982681357772,-142.45071360666722,4
-126.25336911451284,-129.72332877320156,-136.04700112770942,-139.114364400003,-142.64621543790804,4
-124.28229706936742,-129.47139453897628,-135.21124484431002,-138.47665666441864,-142.8535063000287,4
-126.07501242527653,-130.43579253846065,-135.6033102265963,-139.03304290720314,-142.58955374541358,4
-122.72075180628998,-126.91218228149751,-131.3318884250538,-135.38129058122988,-138.75913825597004,4
-127.1865677710094,-126.70323159749546,-132.11419346468716,-136.88552635892103,-141.20475181155973,0
-124.21507925912412,-126.44822837470414,-129.36821312526044,-132.3446117536444,-134.5219222414977,0
-128.51940874123608,-127.97843386709634,-135.34582234651575,-137.85312424970647,-141.84799106614585,1
-125.33581964869582,-127.83180097054009,-134.94060600246394,-137.143427682684,-142.70745069345966,2
-124.9114405908939,-125.3239017275993,-132.85739218214718,-136.51860921555152,-141.64717890634353,2
-124.83642915153557,-127.77267562301617,-135.93564638657298,-138.93353686951846,-142.90674132095276,4
-125.71910081955295,-131.07745898632464,-136.37923252723738,-139.95141340061554,-143.5861015111655,4
-125.2798643863153,-130.62547683372196,-136.14306027434938,-139.29835341509096,-142.67626175655946,4
-129.319479236612,-131.94463595786567,-136.99366976893742,-140.79669725773294,-143.49572210244915,4
-127.95861831104271,-130.1264157279022,-135.7252304001272,-139.6363663772139,-143.8951957839429,4
-127.28489626830917,-131.71742051157827,-137.28672525022026,-141.49075561448814,-143.9582058386342,4
-127.16751189908197,-131.47428858517716,-136.76023966504363,-139.7467025162491,-144.20481386225336,4
-123.48524026762074,-130.1649543606178,-136.93652744244295,-140.6416602832923,-143.61810495896157,4
-126.50310740801618,-130.6025131326334,-135.75673758492687,-139.88662579953908,-143.60518515677103,4
-127.5633486476394,-131.99862100700173,-137.6703342091434,-140.25105554659035,-144.83955523466872,4
-125.93822786326976,-131.64201862159106,-137.3774140500274,-140.69572974139248,-144.0991208852838,4
-131.26489785148607,-133.87021455633553,-138.42782168325252,-142.55544907566312,-145.83548779105652,4
-128.81239326040972,-131.27724789033383,-138.28861697390164,-140.74794328483605,-145.91803918120394,4
-130.52650355609916,-134.60691658994975,-140.36698324405523,-143.77521000406114,-147.27169269433048,4
-127.33778011257289,-129.33409640893464,-131.98562653862942,-134.04870559305178,-135.24190921557002,1
-137.5095571600002,-137.9969305141446,-142.98859790793833,-145.84381659420166,-148.5610986967816,1
-129.9461467548121,-131.85019217079926,-137.1820798656558,-141.3258265096949,-145.73506439893723,2
-132.02742460355896,-132.49027556275988,-139.02331705567605,-141.26921311425102,-144.4485772364432,2
-130.5642472366956,-132.27652376146065,-137.6662565134729,-140.6185003253279,-144.6218779636906,2
-128.53214716101766,-131.02815802831455,-136.8770255912304,-137.31177095404612,-144.1059984336182,2
-123.06180981527544,-127.56223368459652,-129.81498077105078,-131.98841578935932,-133.1718197752532,0
-119.6865635276615,-125.26887410622797,-130.8412517485269,-132.0316992392672,-132.9113359396703,0
-119.41052761479044,-124.42124942655988,-130.70483166394988,-133.6174692802409,-134.99383071151706,0
-118.70353951364099,-122.56930341831914,-126.85021978588355,-129.86071844818554,-131.14813819322626,0
-114.84863581725743,-122.7569762121266,-128.16098171887134,-131.6336176683483,-133.2151953908636,0
-116.76923755423215,-124.20070017719469,-129.08696085768642,-132.0471552381497,-134.64629402012812,0
-127.89951532343133,-128.78972718215417,-132.8703478095529,-135.7775815829703,-139.08862987362878,0
-124.20417263469393,-127.90329459724423,-132.05741117608062,-134.98176089696284,-137.77153581898565,0
-116.11014831633095,-124.37557190640231,-128.93060074401254,-132.4578804290232,-133.8129700359453,0
-128.48318607610628,-128.82721602285517,-132.3764816381527,-134.73193320031478,-137.8562260359356,0
-126.2551033781203,-128.2906429332149,-132.81774173932502,-135.24991301824156,-137.66292863074875,0
-129.31813065161325,-127.85993826242569,-132.99946840280444,-135.28597103517643,-137.75423619457916,1
-125.52641860337035,-126.5526525862076,-132.0890655087885,-134.05054101896542,-137.52541095146873,1
-124.47620093080334,-125.65482226614739,-133.4987163498616,-135.51442629427643,-138.34869141682424,1
-122.75187306820571,-125.07931331276438,-132.60665086183576,-135.24923433101537,-138.98869328662983,2
-123.93783322989682,-126.00983987248475,-132.98850652250073,-136.10667116232284,-139.25393071387975,2
-122.15646078836666,-127.2660960177698,-130.2217095440737,-133.89809811382267,-135.73272705383638,1
-128.2877131870871,-130.04398106634434,-135.6749942782076,-138.00697885719802,-139.87247142398968,1
-123.87529133974877,-126.680174149652,-133.05413167960674,-136.15119147463056,-139.46932439556505,2
-126.15594731607464,-126.3011603979465,-133.70862469661765,-134.95059739875043,-138.8659438051361,2
-124.60050473815625,-126.88868031436846,-133.25322787737457,-136.9860631389091,-139.93484474637248,2
-123.61919168971846,-125.95625513223565,-132.54181561038249,-134.47291744384205,-138.95717217933353,2
-122.72177322325705,-126.38698321114475,-133.02953447789812,-135.17715207868204,-139.91245499141016,2
-122.67267497294837,-125.50034223160712,-131.87297075153856,-135.13639282806,-139.49298856413006,2
-123.45323294376746,-125.9695656270934,-132.3541136254049,-133.01398665617322,-139.45912649673318,2
-125.080602837767,-127.38693418484094,-133.06468151192672,-133.11262542342337,-140.3521946889538,2
-125.5940622726185,-128.41708386329245,-133.56733005937974,-135.72812858516554,-140.5556334787126,2
-126.41759545194714,-129.1457063837236,-133.13082838681987,-134.99280933898865,-140.6911381826443,2
-123.53388750286008,-126.77732778801335,-132.98686366254267,-134.98078744801853,-140.247828700811,2
-125.46171687684581,-128.56894664130934,-133.8236056841723,-134.54388505657195,-139.96038110239567,2
-129.2371017817468,-129.57697223004874,-133.05226091619824,-135.3581962394119,-138.16780573178877,2
-124.96951558248247,-127.20969767832611,-132.4656155313792,-135.32827974499511,-137.94393349859243,2
-123.6270403551736,-125.15235864958314,-130.6891924385187,-133.20893128178642,-137.3510561754798,2
-123.73119990035373,-126.55500351099742,-132.93908568692535,-135.17399974862366,-138.88879743814007,2
-123.2735613513664,-126.54243500786046,-132.13845071105814,-133.52238943592923,-138.78712292390134,2
-121.2110194579344,-124.06570727171486,-129.79056499856972,-132.53765483070305,-137.3950851158203,2
-119.58298833877075,-123.19368029399976,-128.70732505217632,-129.85607431613985,-134.04857046127267,2
-125.22872115962679,-127.96312982114061,-133.48381079469044,-135.74369585343328,-139.80309160428448,2
-123.9330772528337,-126.85298477984556,-132.7715322812059,-133.98956860717675,-140.01755391788862,2
-122.59792227341941,-125.05292928833238,-131.37181604125445,-134.95765088580606,-139.59908218296414,2
-122.19507058916886,-126.14526105066571,-130.77124048030498,-131.78964389572943,-140.23860731426083,3
-121.9407790799137,-124.90587712512507,-130.997681867517,-132.98251782261846,-140.14140707606833,2
-121.9078692419672,-125.14101602150441,-131.7844614063642,-134.4882993681107,-139.79248456244417,3
-122.1912710408937,-125.93214209274373,-132.23406177952663,-134.03545324542196,-139.70080813760597,3
-124.05809949756507,-126.80704211256212,-132.27136807513483,-133.09812362845238,-139.95934804469348,3
-122.96446705123311,-125.65825949477878,-130.7217339391359,-133.92576580202794,-139.98885401751627,2
-123.70780044635914,-126.598961308992,-131.60777148369223,-133.86598974535693,-140.0856974487439,3
-120.63966506986286,-124.57164088996406,-131.2998170809485,-133.0977511468524,-139.36270432123138,3
-125.74374972598756,-126.57069711958218,-131.28978421932158,-133.5984303112043,-140.14341014471003,2
-123.90422391667377,-125.55202434160643,-130.71162827250186,-133.5059935135339,-135.91514467707788,2
-123.56690711781103,-126.04060393639132,-131.41285069578979,-134.19481996724795,-139.58359955512958,2
-122.21771291169283,-125.49260930497047,-130.69915152434615,-132.58254525649357,-138.2970097790635,3
-121.22381495164005,-125.39055279810431,-130.65176357800823,-133.43483837349265,-138.55407369483424,3
-121.32156931870568,-124.37000347465262,-129.63622651140332,-132.5240946374917,-137.09526469004635,2
-120.03791538014883,-124.10412252932561,-129.66383159641305,-131.983241980384,-139.0700895778803,3
-120.7122923394261,-123.75396545695908,-129.21388577381123,-131.58580233260824,-137.41370404123265,2
-121.8186196064375,-124.02676009559518,-130.02688380843256,-132.92686311570253,-138.29636499867257,2
-122.14897149767172,-125.71500162532317,-131.01627952346178,-131.97579608212249,-139.22435463255823,2
-122.31015176278889,-125.25187998623448,-130.78183635637092,-132.42473248039389,-139.05937033526203,2
-122.5606836571035,-125.61657898575034,-130.66740605371808,-131.75044657414122,-138.9357373745275,2
-119.43289984512998,-123.90353295637028,-129.5775203205677,-132.00786178385067,-137.98461862363783,3
-123.03942173177926,-125.2992035287093,-131.44023741450772,-133.53564913276418,-138.2635821314217,2
-121.61427119041272,-124.6031721857274,-130.7739609010681,-132.29202406292052,-138.5916775760177,2
-120.9141857698467,-124.05996541231931,-130.0806022627221,-132.11744998492466,-138.1212173027975,2
-121.89996007133021,-124.80835633610505,-131.39828492009215,-132.76558264801687,-137.86241229200786,2
-123.02462400163495,-123.6172372989343,-128.95310229469254,-131.51977447506502,-133.64635229963287,1
-122.98937226462824,-125.87732313976699,-131.47913470065794,-133.75225328968904,-137.00008007452664,1
-123.60724099345329,-125.01535558065696,-130.8596064274993,-133.73142770511302,-136.21093898906273,1
-125.2720193459447,-126.88412893731171,-130.18213028510982,-133.665222374431,-135.62797444612147,0
-121.1185195355707,-125.57688632646395,-128.59146244306908,-131.42042717403507,-133.58450636365978,0
-124.37924326828171,-126.92527490079556,-129.67823233662904,-132.68035710871726,-135.47737884984159,0
-122.77418826813874,-125.37719335819439,-131.13049820159344,-133.67764565647522,-136.3792198752193,1
-119.76418584221615,-127.17455510334304,-130.68956447494185,-133.15659099910403,-135.3936632962938,0
-124.66826182414954,-126.56220151938545,-129.86656640301885,-133.57826497584315,-136.26059011504617,0
-120.38496789595861,-126.29721833998852,-129.8885298900077,-133.07178218767675,-135.70694644934682,0
-116.39078665959555,-121.35644164958791,-125.01809275467677,-126.6635413261517,-127.54044054050787,0
-124.4285007720549,-125.67816948933607,-129.4172245628839,-132.02311590366838,-134.0564651600158,0
-125.448804796212,-124.63073830865275,-128.80430438938654,-131.4572221408209,-134.40220421884007,0
-123.17191471428212,-122.81967384108019,-129.3059024531033,-132.30879760106944,-134.52033540375677,0
-124.34837022014067,-124.61879597736291,-130.5857064858326,-133.74249385817845,-135.92577979301925,0
-124.58551227130023,-125.82980707863966,-129.92920835187684,-133.16110067086942,-135.71256986069102,1
-125.33123850423529,-124.69902565770742,-130.127897247538,-132.7367267903467,-135.88672828598405,1
-122.97639908705541,-124.75339781993713,-131.3971431499409,-133.8148406772882,-136.80522935870425,2
-123.54756396013845,-124.8094208786714,-132.03988535715655,-134.2779642215103,-137.1054294357282,2
-123.19014417735976,-124.27761069991415,-131.29715204363384,-133.91551819718202,-137.35443852554764,2
-124.25769086603842,-125.64883388228957,-131.77590362906474,-133.76788380447636,-136.6055431724242,2
-123.57232175626594,-125.66470369671309,-130.57988950496386,-133.74794020992374,-137.62501560957492,2
-122.09921923380747,-125.66847557077554,-131.30455979727176,-132.10235861652706,-138.5540470067587,2
-122.72256938538047,-126.04686356080022,-131.9336378303145,-132.06041709209603,-138.34004955714676,2
-121.12128039358839,-124.48702890747249,-130.08203631822727,-131.36420078733218,-137.02207320261573,2
-122.01947614150026,-124.41769886863747,-130.03465480941043,-131.79133363132226,-137.65345680870323,2
-120.78000974870169,-124.35141524324283,-130.07089939930378,-131.90861931722606,-138.54156452017918,2
-120.35333489481826,-124.60207344902044,-130.67919348477847,-133.64799663677138,-137.83122517593978,2
-123.40885998281051,-124.37639119051714,-130.864619172794,-132.32791533251364,-137.87468215711732,2
-121.40383661376823,-124.75243806724451,-129.94644247549306,-131.91895577788372,-137.79491604440022,2
-122.62955385027303,-125.52810956645578,-131.5684188701197,-133.95194184225195,-138.15102677489838,2
-120.85009274341392,-123.36596109855023,-129.2982345138885,-132.85572385502226,-137.19382990709954,2
-120.84638657957166,-123.13381408336322,-129.76620308580232,-130.33349738753958,-137.31670175846747,2
-116.2605044762092,-119.68229119474013,-122.0091070401809,-124.37562882008325,-125.3447995742402,0
-124.91442850885862,-125.10037330840441,-130.99481312246172,-133.82338505174735,-135.50421117215257,1
-124.83954181271743,-125.9529949153217,-130.65697916212144,-133.2274799135366,-135.82165850356327,1
-123.8558445484687,-125.10319306961664,-128.5304803842905,-131.64466498831146,-135.19391557657863,2
-125.50915514921293,-127.23970627881393,-130.45900111180933,-132.55006000734173,-135.0598439179322,2
-122.52872203766297,-124.55127862377725,-130.1806262568462,-131.01114506060705,-136.0002735890855,2
-123.20722811257069,-124.4378666364867,-130.4767656808093,-131.93287658931933,-135.0160881831048,2
-121.87666484453467,-124.59148262770333,-130.47057116917955,-133.4272273191994,-136.02298725857577,2
-121.12018373783592,-122.91138213980858,-128.47777411508844,-131.19865248424688,-135.7625643790553,2
-123.47190819848242,-125.90681683028643,-131.3311831538679,-133.11776981164502,-137.12751970213148,2
-121.55587695398756,-124.52774914006227,-129.41518396669994,-132.97194646091978,-136.2153927032698,2
-122.142972715903,-124.64805724348957,-130.2155884037891,-130.81701961223072,-137.10680627148415,2
-122.2267957669043,-124.06789583760802,-130.25409156184284,-130.64036942879068,-136.73689755677293,2
-121.44307900326572,-124.43364828047584,-130.43549091029092,-131.65596645112805,-136.84410282871283,2
-120.04796199627178,-122.8889553529276,-128.3686364154635,-130.97199866495552,-136.58104831185872,2
-120.89660305364553,-125.04057320366965,-130.38676835112685,-130.76199152913517,-137.57955366290133,2
-120.49218937834947,-123.60611361043809,-129.08510524393856,-131.9249079751706,-137.56839282568535,2
-122.45591853551106,-124.5158292926207,-130.34286092338203,-132.020375698733,-137.06480440803787,2
-120.91119447244286,-123.3270511290519,-129.06279027811144,-131.68933476000984,-137.6399258991706,2
-123.49534716884463,-125.0011246104053,-128.96137690754858,-131.62920272978172,-135.6804430679913,2
-121.68407250017219,-124.30473975108109,-129.4421573736046,-131.4611935024874,-136.80293513659055,2
-124.85596349100788,-123.29707490048003,-129.2902564405659,-132.17309560662736,-135.45870228658978,2
-121.81197664808694,-123.54147061593156,-129.91038369635373,-130.36393043345157,-137.500549772442,2
-120.11090121396377,-123.53106127915464,-129.03686867118483,-130.3285697261953,-137.07371006083363,2
-122.75748688209275,-125.66924396233685,-130.87401696254855,-132.03694924486166,-137.96270899014257,2
-122.33273872506204,-124.08784335288493,-130.97397542622932,-133.20683285301297,-137.0946075311637,2
-122.38577279200373,-125.2041011213522,-129.40146864934133,-132.21556644099945,-137.66291788265818,2
-122.21480661022514,-123.52257592708496,-130.32923429015955,-131.13756667592486,-137.57147899318034,2
-122.61577471688635,-126.22053035489131,-131.09038030977047,-133.3837646297752,-137.74226604351594,2
-122.95331884426113,-124.48307084351615,-130.1885404847684,-133.14365321043974,-137.85664367878024,2
-122.34876607797985,-124.28578362237924,-129.73786176299032,-131.55453504370988,-136.5977658205472,2
-122.11459860909066,-125.11394092571402,-129.85852203433902,-132.9538627183689,-136.5164904174076,2
-123.79952935802245,-124.87226570700778,-131.06254832394856,-130.92588828672174,-136.6465162365316,2
-122.13429016032069,-124.70273565922236,-129.3842693922522,-131.6903626119407,-136.42850244370817,2
-120.40616842010684,-124.12647178903151,-129.12665318648502,-131.87160544805417,-137.97488597152437,3
-121.29546336886833,-124.11371631103962,-130.13695576516815,-132.8164761808204,-137.15973924142327,2
-121.73945523044384,-124.87132364130535,-130.13700481167342,-132.48583242964793,-137.19730244237041,2
-122.72616613670152,-125.7819963142299,-130.4164079271695,-131.16411824714245,-137.62973640929403,2
-122.70160435559382,-123.46905459235609,-129.99949563751426,-132.3423958155138,-136.264741187882,2
-121.61483846618574,-124.67247803819376,-130.02006445767464,-132.15101497308663,-137.55778845769402,2
-121.05330929553068,-123.47909821162185,-128.76439774729357,-131.3195903659373,-137.67267241254515,2
-121.43253515630117,-123.91649265035491,-129.86814978735072,-131.92963436344542,-137.8606720811074,2
-120.21412016240079,-124.11669986130511,-129.01853937116172,-131.13502067801866,-137.34553756527197,2
-120.62465030193636,-124.30764841556689,-129.6887367311052,-130.97886553529582,-137.6007233994744,3
-122.83839525527206,-125.63690016456043,-131.0140983352749,-133.48958059872606,-137.74057513886746,2
-122.824238121744,-124.51467538766946,-129.9087158715211,-133.14753554563615,-136.87834540028672,2
-121.65346069786902,-124.27300001974365,-130.15472308926306,-131.81200378948435,-137.56517365672798,2
-120.74907798185131,-123.31553252738281,-130.20604239930603,-132.57108991601595,-138.01489388449778,2
-120.3949418303175,-122.76737676862945,-128.1383412977426,-129.35174343053802,-136.38422153195756,2
-122.42859256024656,-123.64355570737182,-126.96165891510725,-130.21722969605148,-133.688866222136,2
-122.84841710315641,-123.41630490116044,-129.05251023429005,-131.9727329319778,-135.83458008582113,2
-122.21995431537601,-123.21236856991072,-128.49761776163626,-130.99349060990463,-136.03412067621323,2
-121.71004793078438,-122.14745421795523,-128.24269452155534,-131.9416522080862,-135.2713846484433,0
-124.49479591561779,-125.6953602378005,-129.12062222488055,-131.57299213854682,-132.59069928952277,0
-124.89202083156219,-124.95451899792482,-128.52440143549504,-131.18539521885108,-133.33911189741409,0
